Type,Name,Contact Info,Street Address,Borough,Zip Code,Days of Operation,Hours of Operation,State,Latitude,Longitude,City,Country
Soup Kitchen,HOLY APOSTLES SOUP KITCHEN ,212 924-0167,296 NINTH AVENUE,Manhattan,10001,Monday-Friday,10:30AM-12:30PM,New York,,,,
Food Pantry,HOLY APOSTLES SOUP KITCHEN PANTRY ,646-998-6105,296 NINTH AVENUE,Manhattan,10001,"Tuesday,Wednesday,Thursday",1:30-3PM,New York,,,,
Food Pantry,ST. JOHN'S BREAD OF LIFE ,212 564-9070,213 WEST 30TH STREET,Manhattan,10001,"Wednesday(2,4)",11AM-1PM,New York,40.748959,-73.9930848,,
Food Pantry,ARTISTS ATHLETES ACTIVISTS INCORPORATED ,347-229-8399,110 COLUMBIA STREET,Manhattan,10002,Thursday,12:30-3PM,New York,40.7187246,-73.9788603,,
Food Pantry,DEWITT REFORMED CHURCH ,212 674-3341,280 RIVINGTON STREET,Manhattan,10002,"Saturday(1,3)",10AM-12PM,New York,40.7175812,-73.9795471,,
Food Pantry,MANHATTAN DOWNTOWN MULTI-CULTURAL FOOD PANTRY ,347-248-9726,160 ALLEN STREET - SUITE #20,Manhattan,10002,Thursday(1st),8:30-10:30AM,New York,,,,
Food Pantry,OUR LADY OF SORROWS ,212 673-0900,213 STANTON STREET,Manhattan,10002,"Tuesday,Thursday",8-11AM,New York,40.7193479,-73.9824612,,
Food Pantry,UA3 COMMUNITY FIRST FOOD PANTRY,NONE PROVIDED,384 GRAND STREET,Manhattan,10002,"Monday,Thursday",10AM - 2PM,New York,40.7164182,-73.987662,,
Food Pantry,VISION URBANA ,646-626-9748,66 ESSEX STREET,Manhattan,10002,Monday,9-11AM,New York,40.71734,-73.9884238,,
FPK, LILLIAN WALD FOOD PANTRY ,212-260-2731,12 AVENUE D,Manhattan,10009,Wednesday,10AM-2PM,New York,,,,
Food Pantry,NAZARETH HOUSING INC ,212-477-7017,206 EAST 4TH STREET,Manhattan,10009,Tuesday,8:30-10AM,New York,40.7237646,-73.9839411,,
Food Pantry,THE CRW COMMUNITY FOOD PANTRY ,646-395-4414,25-29 AVENUE D,Manhattan,10009,"Tuesday,",WED 4-5:45PM,New York,,,,
Food Pantry,THE LOWER EASTSIDE GIRLS CLUB ,212-982-1633,402 EAST 8TH STREET,Manhattan,10009,Wednesday,11:30AM-2:30PM,New York,40.7242274,-73.9775325,,
Food Pantry,"TRINITY'S SERVICES AND FOOD FOR THE HOMELESS, INC. ",212 228-5254,602 EAST 9TH STREET,Manhattan,10009,Monday-Thursday,12:30-1:30PM,New York,40.7260202,-73.9801228,,
Soup Kitchen,"TRINITY'S SERVICES AND FOOD FOR THE HOMELESS, INC. ",212 228-5254,602 EAST 9TH STREET,Manhattan,10009,Monday-Friday,11AM-12PM,New York,40.7260202,-73.9801228,,
Soup Kitchen,"UNIVERSITY COMMUNITY SOCIAL SERVICES, INC ",347-850-2230,137 EAST 2ND STREET,Manhattan,10009,Saturday,9-10AM&1-2:30PM,New York,40.7230038,-73.9863572,,
Food Pantry,"ASCENSION OUTREACH, INC ",212 254-8620,12 WEST 11TH STREET,Manhattan,10011,"Saturday(1ST,3RD)",8:30-9AM,New York,40.7341229,-73.995763,,
Food Pantry,ST. PETER'S FOOD PANTRY ,212 929-2390,346 WEST 20TH ST. NR. 9TH AVE,Manhattan,10011,Saturday,10:30-11:30AM,New York,,,,
Food Pantry,THE RED DOOR PLACE ,212-243-5470,201 WEST 13TH STREET,Manhattan,10011,Tuesday,2-4:50PM,New York,40.7381565,-74.0003905,,
Soup Kitchen,THE RED DOOR PLACE ,212-243-5470,201 WEST 13TH STREET,Manhattan,10011,Saturday,12-2PM,New York,40.7381565,-74.0003905,,
Soup Kitchen,THE SALVATION ARMY NEW YORK TEMPLE ,212-337-7469,120 WEST 14TH STREET,Manhattan,10011,Monday-Thursday,12-1PM,New York,40.737528,-73.9974618,,
Food Pantry,THE SALVATION ARMY NEW YORK TEMPLE CORPS ,212-337-7467,120 WEST 14TH STREET,Manhattan,10011,Monday-Friday,9:30-11:30AM,New York,40.737528,-73.9974618,,
